Color,Rating,Opponent,Opponent_rating,Result,Opening,Moves,Year
White,2736,Peter T Roberson,2435,Win,                                                                                                              Réti Opening,40,2020
White,2736,Lazaro Bruzon Batista,2640,Win,                                                                                                              King's Indian Attack,53,2020
Black,2736,Justin Tan,2511,Draw,                                                                                                              Ruy López Opening,14,2020
Black,2736,David L Haydon,2294,Win,                                                                                                              Réti Opening,54,2020
Black,2736,Leinier Dominguez Perez,2758,Win,                                                                                                              Giuoco Piano Game,58,2020
Black,2736,Le Quang Liem,2713,Win,                                                                                                              Queen's Gambit Accepted,47,2020
Black,2736,Illya Nyzhnyk,2662,Draw,                                                                                                              Queen's Gambit Accepted,60,2020
Black,2736,Andrew Tang,2521,Loss,                                                                                                              London System,30,2020
White,2736,Richard J D Palliser,2399,Win,                                                                                                              Réti Opening,26,2020
White,2736,Fabiano Caruana,2822,Loss,                                                                                                              Bishop's Opening,73,2020
Black,2761,Wesley So,2754,Win,                                                                                                              English Opening,54,2019
Black,2749,Vaso Blesic,2390,Draw,                                                                                                              Indian Game,41,2019
Black,2754,Maxime Vachier-Lagrave,2775,Draw,                                                                                                              Ruy López Opening,24,2019
Black,2741,Veselin Topalov,2736,Draw,                                                                                                              Queen's Gambit Accepted,25,2019
Black,2741,Santosh Gujrathi Vidit,2722,Draw,                                                                                                              Queen's Gambit Declined,41,2019
Black,2754,Anish Giri,2779,Draw,                                                                                                              Scandinavian Defense,47,2019
Black,2745,Ian Nepomniachtchi,2776,Loss,                                                                                                              Giuoco Piano Game,42,2019
Black,2749,Fabiano Caruana,2828,Draw,                                                                                                              Ruy López Opening,52,2019
Black,2745,Ioannis Papaioannou,2645,Draw,                                                                                                              Queen's Pawn Opening,17,2019
Black,2745,Ian Nepomniachtchi,2776,Win,                                                                                                              Giuoco Piano Game,44,2019
Black,2745,Ian Nepomniachtchi,2776,Win,                                                                                                              Four Knights Game,45,2019
Black,2761,Teimour Radjabov,2759,Draw,                                                                                                              King's Indian Attack,12,2019
Black,2754,Magnus Carlsen,2875,Loss,                                                                                                              Queen's Gambit Declined,43,2019
Black,2743,Ian Nepomniachtchi,2774,Loss,                                                                                                              Queen's Gambit Declined,69,2019
Black,2736,Vladimir Kramnik,2753,Draw,                                                                                                              English Opening,60,2019
Black,2761,Sergey Karjakin,2752,Draw,                                                                                                              English Opening,72,2019
Black,2754,Jan-Krzysztof Duda,2729,Win,                                                                                                              Trompowsky Attack,34,2019
Black,2741,Pentala Harikrishna,2731,Win,                                                                                                              Catalan Opening,38,2019
Black,2746,Varuzhan Akobian,2625,Win,                                                                                                              Queen's Pawn Opening,47,2019
Black,2745,Ian Nepomniachtchi,2776,Loss,                                                                                                              Giuoco Piano Game,34,2019
Black,2745,Ian Nepomniachtchi,2776,Loss,                                                                                                              Four Knights Game,27,2019
Black,2749,Tarvo Seeman,2386,Win,                                                                                                              King's Indian Attack,43,2019
Black,2745,Bilel Bellahcene,2540,Win,                                                                                                              Ruy López Opening,87,2019
Black,2743,Maxime Vachier-Lagrave,2778,Draw,                                                                                                              Caro-Kann Defense,59,2019
Black,2745,Ian Nepomniachtchi,2776,Win,                                                                                                              Four Knights Game,42,2019
Black,2743,Levon Aronian,2765,Draw,                                                                                                              Sicilian Defense,40,2019
Black,2745,Baskaran Adhiban,2639,Draw,                                                                                                              Queen's Gambit Accepted,30,2019
Black,2745,Ian Nepomniachtchi,2776,Loss,                                                                                                              Caro-Kann Defense,32,2019
Black,2749,Jan-Krzysztof Duda,2731,Draw,                                                                                                              Giuoco Piano Game,107,2019
Black,2754,Alexander Grischuk,2766,Loss,                                                                                                              Queen's Gambit Declined,81,2019
Black,2761,Ian Nepomniachtchi,2773,Win,                                                                                                              English Opening,40,2019
Black,2736,Alexander Riazantsev,2639,Win,                                                                                                              Queen's Pawn Opening,76,2019
Black,2749,Jan-Krzysztof Duda,2731,Loss,                                                                                                              Giuoco Piano Game,78,2019
Black,2749,Wang Yue,2684,Draw,                                                                                                              Queen's Pawn Opening,106,2019
Black,2749,Ladia Jirasek,2376,Win,                                                                                                              Caro-Kann Defense,61,2019
Black,2746,Ray Robson,2667,Win,                                                                                                              Sicilian Defense,55,2019
Black,2754,Jan-Krzysztof Duda,2729,Win,                                                                                                              Trompowsky Attack,34,2019
Black,2745,Ian Nepomniachtchi,2776,Win,                                                                                                              Giuoco Piano Game,44,2019
Black,2761,Sergey Karjakin,2752,Draw,                                                                                                              English Opening,72,2019
Black,2736,Vladimir Kramnik,2753,Draw,                                                                                                              English Opening,60,2019
Black,2743,Ian Nepomniachtchi,2774,Loss,                                                                                                              Queen's Gambit Declined,69,2019
Black,2754,Magnus Carlsen,2875,Loss,                                                                                                              Queen's Gambit Declined,43,2019
Black,2761,Teimour Radjabov,2759,Draw,                                                                                                              King's Indian Attack,12,2019
Black,2745,Ian Nepomniachtchi,2776,Win,                                                                                                              Four Knights Game,45,2019
Black,2745,Ian Nepomniachtchi,2776,Win,                                                                                                              Sicilian Defense,26,2019
